Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
M3.38.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C1/M3.38.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C1/M3.38.C1_R2.fastq.gz	55	5.5	Com1	M3	38	NA	SalTemp	Two	Two	NA
M3.38.C10	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C10/M3.38.C10_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C10/M3.38.C10_R2.fastq.gz	94	3.42	Com10	M3	38	NA	SalTemp	Four	Four	NA
M3.38.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C11/M3.38.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C11/M3.38.C11_R2.fastq.gz	98	18.7	Com11	M3	38	NA	SalTemp	Four	Four	NA
M3.38.C12	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C12/M3.38.C12_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C12/M3.38.C12_R2.fastq.gz	102	3.96	Com12	M3	38	NA	SalTemp	Four	Four	NA
M3.38.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C13/M3.38.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C13/M3.38.C13_R2.fastq.gz	173	30	Com13	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C14/M3.38.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C14/M3.38.C14_R2.fastq.gz	176	19.9	Com14	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C15/M3.38.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C15/M3.38.C15_R2.fastq.gz	179	13.8	Com15	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C16/M3.38.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C16/M3.38.C16_R2.fastq.gz	182	4.9	Com16	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C17/M3.38.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C17/M3.38.C17_R2.fastq.gz	185	36.4	Com17	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C18/M3.38.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C18/M3.38.C18_R2.fastq.gz	188	19.7	Com18	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C19/M3.38.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C19/M3.38.C19_R2.fastq.gz	191	13	Com19	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C2/M3.38.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C2/M3.38.C2_R2.fastq.gz	59	27.8	Com2	M3	38	NA	SalTemp	Two	Two	NA
M3.38.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C20/M3.38.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C20/M3.38.C20_R2.fastq.gz	194	25.6	Com20	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C21/M3.38.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C21/M3.38.C21_R2.fastq.gz	206	4.34	Com21	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C22/M3.38.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C22/M3.38.C22_R2.fastq.gz	209	4.76	Com22	M3	38	Non_evo	SalTemp	Eight	Eight	Non_evo
M3.38.C3	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C3/M3.38.C3_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C3/M3.38.C3_R2.fastq.gz	63	6.8	Com3	M3	38	NA	SalTemp	Two	Two	NA
M3.38.C4	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C4/M3.38.C4_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C4/M3.38.C4_R2.fastq.gz	68	1.25	Com4	M3	38	NA	SalTemp	Two	Two	NA
M3.38.C5	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C5/M3.38.C5_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C5/M3.38.C5_R2.fastq.gz	72	10.4	Com5	M3	38	NA	SalTemp	Two	Two	NA
M3.38.C6	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C6/M3.38.C6_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M3.38.C6/M3.38.C6_R2.fastq.gz	76	<0.5	Com6	M3	38	NA	SalTemp	Two	Two	NA
