Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
M4.38.C9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C9/M4.38.C9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C9/M4.38.C9_R2.fastq.gz	90	0.818	Com9	M4	38	NA	pHSalTemp	Four	Four	NA
M4.38.E.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C13/M4.38.E.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C13/M4.38.E.C13_R2.fastq.gz	213	20.2	Com13	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C14/M4.38.E.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C14/M4.38.E.C14_R2.fastq.gz	216	33.4	Com14	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C15/M4.38.E.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C15/M4.38.E.C15_R2.fastq.gz	219	33.2	Com15	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C16/M4.38.E.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C16/M4.38.E.C16_R2.fastq.gz	222	6.3	Com16	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C17/M4.38.E.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C17/M4.38.E.C17_R2.fastq.gz	225	26.4	Com17	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C18/M4.38.E.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C18/M4.38.E.C18_R2.fastq.gz	228	17.2	Com18	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C19/M4.38.E.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C19/M4.38.E.C19_R2.fastq.gz	231	23.8	Com19	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C20/M4.38.E.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C20/M4.38.E.C20_R2.fastq.gz	234	14.2	Com20	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C21/M4.38.E.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C21/M4.38.E.C21_R2.fastq.gz	237	3.82	Com21	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C22/M4.38.E.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.C22/M4.38.E.C22_R2.fastq.gz	240	2.62	Com22	M4	38	Evo	pHSalTemp	Eight	Eight	Evo
M4.38.E.I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.I20/M4.38.E.I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.E.I20/M4.38.E.I20_R2.fastq.gz	243	8.18	I20	M4	38	Evo	pHSalTemp	One	One	Evo
Mix1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/Mix1/Mix1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/Mix1/Mix1_R2.fastq.gz	Mix1	16.1	Mix1	NA	NA	Non_evo	NA	NA	NA	Non_evo
